hcode,name1,name2
2,D5FY15ST-5063R, 
3,RS208-4070 (PBF) ﾊｲﾋﾝ, 
4,CEP60-60-AGW/LOT A, 
5,CEP60-60-AGW/LOT B, 
6,EV124R2 ｶｲｾｷ, 
9,2SK2185-7012 ﾎｼｭﾋﾝ,09年12月末最終受注
10,CFCSNTKW52-6-AGC 5SK-145078,-V
11,CFCSNTKW52-6-AGC 5SK-145078, 
12,CEP40-60-AGC B1ES-100018, 
14,CFCSMTKW52-6-AGC 5SK-165041, 
15,ST03D-200-7004 P12.5, 
16,D1FK120-5053, 
17,PVS005T200/540V,最終受注2016年9月30日
18,PV-WATCH-ST2(C-U150-REVA), 
19,KL3Z18-4103 ﾊｲﾋﾝ, 
20,D1FM3-5053 B1QK-090008,ﾊﾞｰｺｰﾄﾞ付 ﾀﾞｲﾔ様向け
21,SG40TC10M-5600, 
22,S2K100-5060, 
23,F11F80C3A-7600,所要12月末最終20年9月
24,CSP55-60-AGC, 
25,MG020200-7101, 
26,GPR-48-1000N,ﾕﾆｯﾄ電源
27,GPP1U RACK AA,ｼｬｰｼACｹｰﾌﾞﾙ付
28,BLANK-U,ﾌﾞﾗﾝｸﾕﾆｯﾄ
29,S1ZA60-4102 ﾊｲﾋﾝ, 
30,PV-WATCH-ST2-3G(C-L-U050-REVA),2020年2月末最終受注
31,GY24010GN ｶｲｾｷﾋ, 
32,CF6HP2FW-60-28-AGW 300Vｾﾝﾍﾞﾂﾋﾝ, 
33,CF6HP2FW-51-28-AGW 300Vｾﾝﾍﾞﾂﾋﾝ, 
34,HS90S2FR-JP,最終受注2016年9月末日
35,SF20LC30M-5112, 
36,HS90S2FR-JC,最終受注2016年9月末日
37,PVS ｹﾞﾝﾁﾁｮｳｾｲﾋ, 
38,CEPS70-20-AGC, 
39,D15JAB60V-7000, 
40,DF20SC4M-7072, 
41,SAWﾌｨﾙﾀ MSF-4510022AR,2019年12月末最終受注
42,F21F60CPM-7600,所要12月末最終20年9月
43,PVS010S200-SA, 
44,S15VTA80-5000, 
45,SG40TC12M-5600, 
46,SG15SC6M-5600, 
47,HS70S9FR-J36,2017年9月25日最終受注
48,F11F60CPM-7100,所要12月末最終20年9月
